,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
80,2015-11-18 20:15:00,2015-11-18,C1.1,"(0, 0)",12457,2015-11-18 20:09:00,2015-11-18 19:43:00,1.1e-06 W / m2
81,2015-11-19 07:53:00,2015-11-19,B8.0,"(0, 0)",12457,2015-11-19 07:48:00,2015-11-19 07:44:00,8e-07 W / m2
82,2015-11-20 06:16:00,2015-11-20,B5.2,"(0, 0)",12457,2015-11-20 06:12:00,2015-11-20 06:09:00,5.2e-07 W / m2
83,2015-11-20 11:27:00,2015-11-20,B5.5,"(0, 0)",12457,2015-11-20 11:25:00,2015-11-20 11:21:00,5.5e-07 W / m2
84,2015-11-20 13:02:00,2015-11-20,B7.3,"(0, 0)",12455,2015-11-20 12:58:00,2015-11-20 12:26:00,7.3e-07 W / m2
85,2015-11-21 02:17:00,2015-11-21,C1.6,"(-65, 9)",12457,2015-11-21 02:14:00,2015-11-21 02:10:00,1.6e-06 W / m2
86,2015-11-21 03:53:00,2015-11-21,B7.3,"(0, 0)",12457,2015-11-21 03:41:00,2015-11-21 03:32:00,7.3e-07 W / m2
87,2015-11-21 13:29:00,2015-11-21,C2.0,"(0, 0)",12454,2015-11-21 13:24:00,2015-11-21 13:11:00,2e-06 W / m2
88,2015-11-21 14:05:00,2015-11-21,C3.3,"(0, 0)",12454,2015-11-21 13:53:00,2015-11-21 13:36:00,3.3e-06 W / m2
89,2015-11-21 17:14:00,2015-11-21,B8.7,"(0, 0)",12454,2015-11-21 17:11:00,2015-11-21 17:07:00,8.7e-07 W / m2
90,2015-11-21 17:58:00,2015-11-21,C1.6,"(0, 0)",12454,2015-11-21 17:44:00,2015-11-21 17:33:00,1.6e-06 W / m2
91,2015-11-21 19:48:00,2015-11-21,C1.0,"(0, 0)",12454,2015-11-21 19:42:00,2015-11-21 19:38:00,1e-06 W / m2
92,2015-11-21 22:29:00,2015-11-21,C1.1,"(-51, 11)",12457,2015-11-21 22:21:00,2015-11-21 22:15:00,1.1e-06 W / m2
93,2015-11-22 02:27:00,2015-11-22,C5.1,"(39, 14)",12454,2015-11-22 02:10:00,2015-11-22 01:37:00,5.1e-06 W / m2
94,2015-11-22 03:25:00,2015-11-22,C1.2,"(0, 0)",12454,2015-11-22 03:21:00,2015-11-22 03:17:00,1.2e-06 W / m2
95,2015-11-22 05:41:00,2015-11-22,C5.6,"(40, 15)",12454,2015-11-22 05:38:00,2015-11-22 05:31:00,5.6e-06 W / m2
96,2015-11-22 10:29:00,2015-11-22,C2.4,"(0, 0)",12457,2015-11-22 10:23:00,2015-11-22 10:17:00,2.4e-06 W / m2
97,2015-11-22 12:49:00,2015-11-22,C1.4,"(0, 0)",12454,2015-11-22 12:45:00,2015-11-22 12:40:00,1.4e-06 W / m2
98,2015-11-22 13:56:00,2015-11-22,B7.3,"(0, 0)",12457,2015-11-22 13:51:00,2015-11-22 13:48:00,7.3e-07 W / m2
99,2015-11-22 17:15:00,2015-11-22,C2.0,"(44, 11)",12454,2015-11-22 16:57:00,2015-11-22 16:31:00,2e-06 W / m2
100,2015-11-22 18:48:00,2015-11-22,C1.6,"(48, 16)",12454,2015-11-22 18:45:00,2015-11-22 18:41:00,1.6e-06 W / m2
101,2015-11-22 19:05:00,2015-11-22,C1.3,"(0, 0)",12454,2015-11-22 19:00:00,2015-11-22 18:57:00,1.3e-06 W / m2
102,2015-11-22 22:49:00,2015-11-22,C2.6,"(50, 15)",12454,2015-11-22 22:46:00,2015-11-22 22:39:00,2.6e-06 W / m2
103,2015-11-23 00:52:00,2015-11-23,C1.6,"(51, 16)",12454,2015-11-23 00:48:00,2015-11-23 00:43:00,1.6e-06 W / m2
